incidentID,description,unitsString,longitude,latitude,inside_lemsa_raw,inside_lemsa_buffered,dist_m_to_boundary,google_maps
5ec8b508-4478-4ee8-a0a3-885e2355b93b,MEDICAL EMERGENCY,AMB 85-4,-76.3955052,40.1503722,False,False,12823.03699115388,"https://maps.google.com/?q=40.1503722,-76.3955052"
2888dbdf-6e18-4eec-a7b9-5fc933fa3360,MEDICAL EMERGENCY,Units Assigned,-75.7063635,39.8563913,False,False,33059.52501754708,"https://maps.google.com/?q=39.8563913,-75.7063635"
543508aa-41eb-4587-a38d-b863688b946f,MEDICAL EMERGENCY,MEDIC 77-4,-76.37530459999999,40.0804104,False,False,2927.607992673707,"https://maps.google.com/?q=40.0804104,-76.37530459999999"
a3379443-b2c5-4f63-ae2e-a643699cfa9c,MEDICAL EMERGENCY,AMB 24-1,-76.2021742,40.1567616,False,False,12682.094356779242,"https://maps.google.com/?q=40.1567616,-76.2021742"
fae2a46f-ce73-4ed7-b4f1-a2d59bb32754,MEDICAL EMERGENCY,INT 86-7,-76.31558,40.23092949999999,False,False,22146.6987334167,"https://maps.google.com/?q=40.23092949999999,-76.31558"
c2f2c0e9-40d4-418d-9477-cabbc056f12c,VEHICLE ACCIDENT-CLASS 1,INT 77-4,-76.4272474,40.1015163,False,False,9443.863595225646,"https://maps.google.com/?q=40.1015163,-76.4272474"
af9d8323-6ba5-4ec8-b6a2-4a3c40b67e79,MEDICAL EMERGENCY,AMB 82-1,-76.30559629999999,40.1105855,False,False,5303.48079687136,"https://maps.google.com/?q=40.1105855,-76.30559629999999"
f93b6dff-fac2-4625-bb8a-ea9d9ada1924,MEDICAL EMERGENCY,AMB 24-1,-76.1964495,40.1669105,False,False,14279.389751459323,"https://maps.google.com/?q=40.1669105,-76.1964495"
242a5522-17e1-4d96-82b1-4085ac70189c,MEDICAL EMERGENCY,AMB 37-12,-76.2087152,40.0876946,False,False,4414.511744601109,"https://maps.google.com/?q=40.0876946,-76.2087152"
95af001d-635a-437c-9167-10dfb1033db1,MEDICAL EMERGENCY,INT 01-2,-76.16703059999999,40.1982408,False,False,19878.420704093245,"https://maps.google.com/?q=40.1982408,-76.16703059999999"
f1659ffa-1f0d-42e1-97b9-e7cda07818f0,MEDICAL EMERGENCY,"QRS 27, EMS CHIEF 85, INT 85-3",-76.4371491,40.2207067,False,False,24060.080529794333,"https://maps.google.com/?q=40.2207067,-76.4371491"
bd6a2140-9faa-4b15-a01e-1df4d8083fe8,MEDICAL EMERGENCY,AMB 01-1,-76.1725853,40.174534,False,False,16662.70107080201,"https://maps.google.com/?q=40.174534,-76.1725853"
dd3f2f95-9aa7-4662-94e3-d1c8cdbc09be,MEDICAL EMERGENCY,MEDIC 77-42,-76.38717989999999,40.0826573,False,False,4207.474308180403,"https://maps.google.com/?q=40.0826573,-76.38717989999999"
cce18535-bb9b-43a5-8dd4-47f984071fa2,VEHICLE ACCIDENT-CLASS 2,INT 01-1,-76.17883909999999,40.1798165,False,False,16905.57089579031,"https://maps.google.com/?q=40.1798165,-76.17883909999999"
9ef29c04-9ac8-4db8-887f-42635e564529,MEDICAL EMERGENCY,"INT 86-1, MEDIC 8600",-76.62080590000001,40.1355318,False,False,24081.61225550998,"https://maps.google.com/?q=40.1355318,-76.62080590000001"
