n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,segment
9,0,2.8939654521869187,7.51351305748714,5.062848728511478,0.0,0.0,19.725066001383354,8.617130141618537,26.29758553933796,46,2023-01-30_S0
5,0,3.5652623940484856,5.595422412850656,3.9569963209082415,0.0,0.0,23.926143787611867,11.02580287799115,18.849175209590676,46,2023-01-30_S1
36,0,2.993236766167155,6.946521340961592,3.7561771915913473,0.0,0.0,18.215225821074764,8.66283674112804,24.77904872640384,46,2023-01-30_S2
8,0,3.733257925646363,8.680081539585213,5.329845256750985,0.0,0.0,17.03639364019131,10.833240358211238,24.34456282677844,46,2023-01-31_S1
11,0,3.683929762456432,7.497565975970182,4.458081660489627,0.0,0.0,18.957161329436566,9.756337413494935,22.805275689271785,46,2023-01-31_S2
15,0,3.2612909321596955,6.109233000482134,3.962642647533272,0.0,0.0,20.541390818669946,7.356735915099306,27.08716958091968,46,2023-02-01_S0
8,0,3.299019929700606,10.571041300290181,5.740491586138576,0.0,0.0,23.74906400139765,12.756004738960277,26.89707870976432,46,2023-02-01_S1
35,0,3.588421828795586,8.973586178612994,4.6466444734869805,0.0,0.0,22.419774413537727,8.473877984958412,25.65255926940738,46,2023-02-01_S2
12,0,3.3052645125361497,5.471226704403389,3.9495971079614107,0.0,0.0,18.393815276631578,7.298820521509587,23.309137175998753,46,2023-02-02_S0
16,0,2.973536129940888,6.179931128836287,4.3491418111034115,0.0,0.0,26.227873335655506,6.387611800237386,24.439357507284292,46,2023-02-02_S1
23,0,2.7654492707829625,10.067578422547784,4.002691772767197,0.0,0.0,20.435561784654396,8.303891940222337,22.986873980317622,46,2023-02-02_S2
13,0,3.0050319328720905,4.247813131134867,2.910592234079191,0.0,0.0,17.745735573528993,3.5579972724359528,21.524617815751977,46,2023-02-03_S0
24,0,3.192811018612697,11.033392044797782,4.7258398519991625,0.0,0.0,22.226503094486365,8.707160580010758,27.312591228628765,46,2023-02-03_S1
13,0,2.971490033219868,7.977785018386619,4.424911207435231,0.0,0.0,21.41055510059891,6.355207350982709,23.844128579109714,46,2023-02-03_S2
7,0,2.871031328467951,3.114801698643392,2.556818563478694,0.0,0.0,13.691549182587346,5.241695882014978,24.924087446333825,46,2023-02-04_S0
7,0,3.6570930232336396,6.216193629954638,4.3305411178416895,0.0,0.0,19.66637073210725,7.784548578331114,20.811914757044978,46,2023-02-04_S1
11,0,3.3423636581885163,5.390922495089541,3.979351387960753,0.0,0.0,19.984260997522465,6.586690800512653,29.2555635558535,46,2023-02-04_S2
4,0,3.5166803779520777,4.988795914347211,3.5984461291780483,0.0,0.0,20.364561647875558,8.060109088292041,32.72449738659256,46,2023-02-05_S0
7,0,3.193694102908456,3.812967579804937,3.1736300632433205,0.0,0.0,16.259369425541454,5.2163918357855925,19.81785603288116,46,2023-02-05_S1
5,0,2.871031328467951,8.004640615770978,4.59154423791014,0.0,0.0,12.950639225528807,5.854245898872546,22.721355238415477,46,2023-02-05_S2
24,0,3.2040378854726725,4.27857854059517,3.678164031605327,0.0,0.0,19.829566535591578,5.453177411693982,26.047882591237727,46,2023-02-06_S0
14,0,2.588987521014533,4.180915307267451,3.8538296150429194,0.0,0.0,19.550272734311168,6.93531569011254,34.56438085862203,46,2023-02-06_S1
5,0,3.4553414980111548,3.952647043832973,3.4574617059568054,0.0,0.0,15.365990009012398,4.174802238956482,30.63266298132611,46,2023-02-06_S2
12,0,3.078959886142318,5.6876679587419146,3.6428967809010793,0.0,0.0,19.473348086054727,6.78133980217454,21.528347178556995,46,2023-02-07_S0
6,0,3.574447641307523,6.43787555613474,4.030310344369031,0.0,0.0,22.421946605886884,9.983617212122093,35.16767794286605,46,2023-02-07_S1
19,0,4.677857717050447,12.66914797663027,6.828305329599002,0.0,0.0,21.936961812703842,13.820403981652275,28.389591077227866,46,2023-02-07_S2
9,0,3.1688276891599747,11.058682187893801,4.965763908486369,0.0,0.0,21.803617004925666,10.554686704136937,25.758817468312632,46,2023-02-08_S0
3,0,4.375985993185429,5.13263509120288,4.032555394294661,0.0,0.0,23.273674139695306,7.701432250402846,20.236124109997345,46,2023-02-08_S1
20,0,3.1841732217537575,6.274241415894517,4.067671965421402,0.0,0.0,18.05177746032639,8.976278108392222,26.42380581353556,46,2023-02-08_S2
6,0,3.1827015240872756,7.825101902093927,4.579301833732312,0.0,0.0,30.09353727434723,9.636013032032071,20.66782068640247,46,2023-02-09_S0
6,0,3.3227563114279164,8.980637960756933,4.8453525107285325,0.0,0.0,22.08114097584028,10.630189554076328,25.61822777453803,46,2023-02-09_S2
17,0,3.7341750935424334,8.447547591037841,4.650374585191799,0.0,0.0,20.297194926931994,9.96676811914556,21.827885527073448,46,2023-02-10_S0
18,0,2.9391860547546633,7.014498175273657,4.509338255923408,0.0,0.0,21.149464565278894,7.465441320503942,28.958411302789344,46,2023-02-10_S1
12,0,3.320169541417039,15.986583924029059,5.5541997596850985,0.0,0.0,17.465820860703,15.251798442231793,27.384562494539864,46,2023-02-10_S2
5,0,4.727595939921004,12.885910986841397,6.621785434907272,0.0,0.0,16.259911509702047,13.186089404943573,20.775499450153696,46,2023-02-11_S0
12,0,3.072544798612317,4.412256567725955,3.290339837231142,0.0,0.0,22.452528158294154,3.5662436844559853,23.6792495072286,46,2023-02-11_S2
26,0,3.1113141659796595,8.49477094486613,4.306837877179022,0.0,0.0,20.515186818869186,6.29716519391666,23.917438569260053,46,2023-02-12_S0
13,0,3.332303702752103,11.17172299993011,5.603508094535481,0.0,0.0,25.908315261614664,12.5203282478437,25.851222516052385,46,2023-02-12_S1
13,0,3.1427020769771126,5.9366275093063114,4.930704892803382,0.0,0.0,17.280644300195906,8.234944635799812,23.347339150774708,46,2023-02-12_S2
13,0,3.5359055168146614,4.872373963789849,3.9291543727694043,0.0,0.0,18.544844522175346,6.425384790191692,28.47198169052451,46,2023-02-13_S0
