run_id,calls,units,segments,w_avg_p50_resp_min,w_avg_p90_resp_min,w_avg_avg_resp_min
20251129T211416Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T212014Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T212616Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T213217Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T213815Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T214412Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T215016Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T215615Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T220416Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T221016Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T221843Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T223441Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T224736Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T230037Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T230636Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T232201Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T232833Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T233624Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T234221Z,63185.0,30.0,2713.0,4.817438278674742,11.508982406839555,6.16837367827164
20251129T235519Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
20251130T032308Z,63185.0,30.0,2713.0,3.8164664341196777,4.772322216023008,3.419505172306358
20251130T032337Z,63185.0,30.0,2713.0,3.9671235479428866,9.970116846976964,5.3974317562673715
20251130T032346Z,63185.0,30.0,2713.0,3.9671235479428866,9.970116846976964,5.3974317562673715
20251130T032356Z,63185.0,30.0,2713.0,3.9671235479428866,9.970116846976964,5.3974317562673715
20251130T032406Z,63185.0,30.0,2713.0,3.9671235479428866,9.970116846976964,5.3974317562673715
20251130T032415Z,63185.0,30.0,2713.0,3.9671235479428866,9.970116846976964,5.3974317562673715
20251130T032425Z,63185.0,30.0,2713.0,3.9671235479428866,9.970116846976964,5.3974317562673715
20251130T032552Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032602Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032611Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032621Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032630Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032640Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032649Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032659Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032709Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T032913Z,63185.0,30.0,2713.0,3.9671235479428866,9.970116846976964,5.3974317562673715
20251130T033042Z,63185.0,30.0,2713.0,3.9503500441638706,9.771662863959676,5.311306162621416
20251130T033241Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
20251130T033344Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816267509477362
20251130T033448Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
20251130T033551Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816267509477362
20251130T033655Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
20251130T033758Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816267509477362
20251130T033901Z,63185.0,30.0,2713.0,4.775519716420264,10.425341560871644,5.816271016571502
