variant_id,base_variant_id,policy,kwargs,complexity,note,mean_resp_time,p50_resp_time,p90_resp_time,coverage_loss_mean,coverage_loss_p90,fairness_gap,als_mismatch_rate,unit_area_mismatch_rate,shifts,total_calls,w_avg_p50_resp_min,w_avg_p90_resp_min,w_avg_avg_resp_min,units,n_runs,mean_resp_time_norm,p50_resp_time_norm,p90_resp_time_norm,coverage_loss_mean_norm,coverage_loss_p90_norm,fairness_gap_norm,als_mismatch_rate_norm,unit_area_mismatch_rate_norm,shifts_norm,total_calls_norm,w_avg_p50_resp_min_norm,w_avg_p90_resp_min_norm,w_avg_avg_resp_min_norm,units_norm
ff_als_coverage_coverage_fairness_2,ff_als_coverage_coverage_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True}",5,bottom_up,6.419015918491953,4.7442906009927235,11.63404550500642,0.0,0.0,4.837468354695892,,,2713.0,63185.0,5.242640866251701,11.51673653172383,6.348878997500288,30.0,1,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.20303863812020645,0.16545148519376562,0.1868490236715449,0.5
ff_als_coverage_coverage_fairness_fairness,ff_als_coverage_coverage_fairness_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True}",6,bottom_up,6.458530415198504,4.744413561111874,11.755802232633071,0.0,0.0,5.140917857582648,,,2713.0,63185.0,5.230083888323544,11.705051264554347,6.388850034782266,30.0,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_als_coverage_coverage_fairness_fairness_zone,ff_als_coverage_coverage_fairness_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}",7,bottom_up,6.458530415198504,4.744413561111874,11.755802232633071,0.0,0.0,5.140917857582648,,,2713.0,63185.0,5.230083888323544,11.705051264554347,6.388850034782266,30.0,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_als_coverage_coverage_fairness_zone,ff_als_coverage_coverage_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_zone_weights': True}",6,bottom_up,6.458530415198504,4.744413561111874,11.755802232633071,0.0,0.0,5.140917857582648,,,2713.0,63185.0,5.230083888323544,11.705051264554347,6.388850034782266,30.0,1,0.7956081976571976,0.84269848496273,0.8683979927120065,1.0,1.0,0.33033948078001313,,,0.5,0.5,0.1956116932698221,0.19982587846705038,0.20430473481221237,0.5
ff_als_coverage_coverage_fairness_zone_2,ff_als_coverage_coverage_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True, 'use_zone_weights': True}",6,bottom_up,6.419015918491953,4.7442906009927235,11.63404550500642,0.0,0.0,4.837468354695892,,,2713.0,63185.0,5.242640866251701,11.51673653172383,6.348878997500288,30.0,1,0.8128992001766604,0.8427470887777144,0.8889131232318292,1.0,1.0,0.4783525429002208,,,0.5,0.5,0.20303863812020645,0.16545148519376562,0.1868490236715449,0.5
ff_als_coverage_coverage_guardrail,ff_als_coverage_coverage_guardrail,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True}",5,bottom_up,7.019341605320155,5.4914561302455995,12.250558041793196,0.0,0.0,4.634610460394353,,,2713.0,63185.0,5.914799244746013,12.46963357834364,6.942447673380636,30.0,1,0.5502049024222927,0.5474066532172409,0.7850352069488752,1.0,1.0,0.5773002024784712,,,0.5,0.5,0.6005931481593639,0.33939038703709834,0.44606579793793233,0.5
ff_als_coverage_coverage_guardrail_fairness,ff_als_coverage_coverage_guardrail_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True}",6,bottom_up,6.9438341442633735,5.483559498806349,12.045087115912958,0.0,0.0,4.861091421413533,,,2713.0,63185.0,5.905153902723669,12.266210627926986,6.874034870507876,30.0,1,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.46682995871970606,,,0.5,0.5,0.5948883182494207,0.30225818610236216,0.4161893122003767,0.5
ff_als_coverage_coverage_guardrail_fairness_2,ff_als_coverage_coverage_guardrail_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness_weight': True}",6,bottom_up,6.99989992126529,5.4903902411374155,12.1476751318661,0.0,0.0,4.658932064518387,,,2713.0,63185.0,5.909171144963483,12.425359918387208,6.927316057960732,30.0,1,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
ff_als_coverage_coverage_guardrail_fairness_fairness,ff_als_coverage_coverage_guardrail_fairness_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_fairness_weight': True}",7,bottom_up,6.94371899298575,5.483128421838201,12.045087115912958,0.0,0.0,4.861228140017833,,,2713.0,63185.0,5.905106763972294,12.266210627926986,6.8739189183800615,30.0,1,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.46676327171221765,,,0.5,0.5,0.5948604375834853,0.30225818610236216,0.4161386748642724,0.5
ff_als_coverage_coverage_guardrail_fairness_fairness_zone,ff_als_coverage_coverage_guardrail_fairness_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}",8,bottom_up,6.94371899298575,5.483128421838201,12.045087115912958,0.0,0.0,4.861228140017833,,,2713.0,63185.0,5.905106763972294,12.266210627926986,6.8739189183800615,30.0,1,0.5832963217591804,0.5506984392164173,0.8196555761443037,1.0,1.0,0.46676327171221765,,,0.5,0.5,0.5948604375834853,0.30225818610236216,0.4161386748642724,0.5
ff_als_coverage_coverage_guardrail_fairness_zone,ff_als_coverage_coverage_guardrail_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_zone_weights': True}",7,bottom_up,6.9438341442633735,5.483559498806349,12.045087115912958,0.0,0.0,4.861091421413533,,,2713.0,63185.0,5.905153902723669,12.266210627926986,6.874034870507876,30.0,1,0.5832459331373465,0.5505280426248342,0.8196555761443037,1.0,1.0,0.46682995871970606,,,0.5,0.5,0.5948883182494207,0.30225818610236216,0.4161893122003767,0.5
ff_als_coverage_coverage_guardrail_fairness_zone_2,ff_als_coverage_coverage_guardrail_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness_weight': True, 'use_zone_weights': True}",7,bottom_up,6.99989992126529,5.4903902411374155,12.1476751318661,0.0,0.0,4.658932064518387,,,2713.0,63185.0,5.909171144963483,12.425359918387208,6.927316057960732,30.0,1,0.5587123170673978,0.5478279790696059,0.8023702353005369,1.0,1.0,0.5654368938626151,,,0.5,0.5,0.5972643546441994,0.3313088090526518,0.439457685518978,0.5
