n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment,policy_id
11,0,3.6848590724234644,8.052857246745297,4.551610385332395,46,489,1.4500000000000068,1.0097137014314925,1.0,2023-01-31_S2,least_busy
15,0,3.105015901488764,6.011986085038397,3.880237914978703,46,658,1.350000000000015,1.0,1.0,2023-02-01_S0,least_busy
8,0,3.7116795585128823,12.154766438479514,6.399803174705935,46,371,1.550000000000002,1.0814016172506729,1.0,2023-02-01_S1,least_busy
35,0,4.17264347369148,9.956120987482626,5.139773031970182,46,1504,1.4500000000000193,1.1385305851063676,1.0,2023-02-01_S2,least_busy
12,0,3.1722875045612633,5.190846476496431,3.8045380308467553,46,517,1.3500000000000127,1.0,1.0,2023-02-02_S0,least_busy
16,0,3.367652878743327,6.771128783864304,4.691378341446034,46,721,1.5499999999999792,1.0765603328710005,1.0,2023-02-02_S1,least_busy
23,0,3.0171699847771705,11.76813577801358,4.577233027795741,46,1016,1.4500000000000268,1.0965551181102227,1.0,2023-02-02_S2,least_busy
13,0,2.9766092773222375,3.9419212322962367,2.873497808210657,46,593,1.350000000000014,1.0080944350758871,1.0,2023-02-03_S0,least_busy
24,0,3.5909974909709845,12.935456740470642,5.359140860920692,46,1084,1.549999999999971,1.0941881918819234,1.0,2023-02-03_S1,least_busy
13,0,3.4323198293963397,8.716085022138557,4.8654037013179385,46,580,1.4500000000000128,1.0559482758620726,1.0,2023-02-03_S2,least_busy
7,0,2.858699683778502,3.2647520257309015,2.605097468622588,46,328,1.3500000000000074,1.072560975609752,1.0,2023-02-04_S0,least_busy
7,0,4.474449483049179,6.850090184298752,4.808123023162674,46,332,1.5500000000000076,1.0996987951807267,1.0,2023-02-04_S1,least_busy
11,0,3.827585577890853,5.700300581611804,4.441873179053925,46,513,1.4500000000000086,1.1510721247563276,1.0,2023-02-04_S2,least_busy
4,0,3.5600535045568034,4.8819226817091765,3.564809438604187,46,186,1.349999999999996,1.0,1.0,2023-02-05_S0,least_busy
7,0,3.555775722068599,4.349523252877434,3.508261735725249,46,325,1.5500000000000078,1.0710769230769297,1.0,2023-02-05_S1,least_busy
5,0,3.180193619978674,9.770094458242117,5.405659349352823,46,232,1.4499999999999937,1.2295258620689662,1.0,2023-02-05_S2,least_busy
24,0,3.2037428433634334,4.3637890065828175,3.6653013767598153,46,1087,1.3499999999999837,1.0438362465501454,1.0,2023-02-06_S0,least_busy
14,0,2.825111047236833,4.617500540126255,4.335775957192825,46,637,1.5499999999999823,1.1029827315541691,1.0,2023-02-06_S1,least_busy
5,0,3.850885039460918,4.6240290893778,4.012632034189715,46,220,1.449999999999994,1.2295454545454554,1.0,2023-02-06_S2,least_busy
12,0,2.993389241547853,5.397575969847296,3.655577537119011,46,548,1.3500000000000134,1.066240875912421,1.0,2023-02-07_S0,least_busy
6,0,4.041375010398301,7.577713805565894,4.627970364093268,46,279,1.5500000000000074,1.13351254480287,1.0,2023-02-07_S1,least_busy
19,0,5.168197376262542,15.616609381571873,7.686125550851819,46,818,1.4500000000000224,1.110941320293399,1.0,2023-02-07_S2,least_busy
9,0,3.3564837448583957,10.280426002662129,4.901106083737993,46,419,1.3500000000000105,1.0551312649164728,1.0,2023-02-08_S0,least_busy
3,0,5.069659470992811,5.607377583012246,4.457010358190691,46,141,1.5500000000000036,1.0836879432624116,1.0,2023-02-08_S1,least_busy
20,0,3.2360835158278127,6.936687035087133,4.211727093540621,46,866,1.4500000000000237,1.046824480369518,1.0,2023-02-08_S2,least_busy
6,0,3.067330209606302,7.408241525211024,4.379472484359332,46,278,1.3500000000000045,1.0,1.0,2023-02-09_S0,least_busy
6,0,3.2968156527865,8.665480955763119,4.731973069299634,46,281,1.4499999999999929,1.0085409252669038,1.0,2023-02-09_S2,least_busy
17,0,3.4686220382990687,8.261944293518187,4.70842542864679,46,774,1.3500000000000139,1.0527131782945824,1.0,2023-02-10_S0,least_busy
18,0,3.2457717889545954,8.640673295120989,5.403742679706962,46,830,1.5499999999999758,1.103253012048194,1.0,2023-02-10_S1,least_busy
12,0,3.648523204563558,18.69056135357343,6.285500139692399,46,540,1.4500000000000106,1.1267592592592581,1.0,2023-02-10_S2,least_busy
5,0,4.69704341262192,11.809362018160316,6.2363057977378435,46,222,1.3499999999999999,1.0,1.0,2023-02-11_S0,least_busy
12,0,3.048005091794212,4.423612378676963,3.2435245688865275,46,544,1.4500000000000108,1.0462316176470627,1.0,2023-02-11_S2,least_busy
26,0,3.1482036281553545,8.715489260039181,4.309529663862209,46,1174,1.349999999999978,1.0518739352640556,1.0,2023-02-12_S0,least_busy
13,0,3.703689996242145,12.92954720549519,6.682926837805629,46,578,1.549999999999985,1.1294982698961933,1.0,2023-02-12_S1,least_busy
13,0,3.4653089953547562,7.066187761633193,5.408991079439104,46,563,1.450000000000012,1.111811722912966,1.0,2023-02-12_S2,least_busy
13,0,3.369305033231621,4.861315200218284,3.8756155535415973,46,601,1.3500000000000143,1.0653910149750565,1.0,2023-02-13_S0,least_busy
9,0,4.763361352282098,18.93182802921372,8.198752652494507,46,410,1.5499999999999976,1.1441463414634052,1.0,2023-02-13_S1,least_busy
11,0,3.280533252916537,8.919274986207174,4.49729799923289,46,470,1.4500000000000053,1.2135106382978729,1.0,2023-02-13_S2,least_busy
22,0,3.535562659644631,10.559252814632766,5.5774818468542815,46,985,1.3499999999999914,1.0440609137055912,1.0,2023-02-14_S0,least_busy
5,0,3.8537069149811236,3.871672221549802,3.4790644023309296,46,232,1.5500000000000065,1.1284482758620749,1.0,2023-02-14_S1,least_busy
5,0,3.3098928236273792,12.335199221208184,6.477214583814913,46,233,1.350000000000001,1.039699570815455,1.0,2023-02-15_S0,least_busy
12,0,3.752278208529061,13.87956284773352,6.227595144011022,46,551,1.5499999999999865,1.0878402903811262,1.0,2023-02-15_S1,least_busy
27,0,3.766143816022647,8.045376448949888,4.985557982814092,46,1202,1.4500000000000297,1.1146006655573972,1.0,2023-02-15_S2,least_busy
15,0,3.7006462710965176,5.2994566048670055,4.391770884736363,46,649,1.5499999999999816,1.0918335901386818,1.0,2023-02-16_S1,least_busy
13,0,3.0380388604564557,6.63614534069115,4.119376368777271,46,570,1.4500000000000124,1.0271052631578959,1.0,2023-02-16_S2,least_busy
17,0,2.9168690034841305,4.43550764053318,3.6536125870861267,46,778,1.3500000000000134,1.0182519280205697,1.0,2023-02-17_S0,least_busy
16,0,3.237547825916251,7.328508479189827,4.456761584710518,46,719,1.5499999999999792,1.0999304589707957,1.0,2023-02-17_S1,least_busy
18,0,3.2468524714262204,10.569904359821312,5.437572312484567,46,801,1.450000000000022,1.113233458177276,1.0,2023-02-17_S2,least_busy
7,0,4.465650164173233,8.55008396865359,5.4332046709171085,46,325,1.5500000000000078,1.0932307692307792,1.0,2023-02-18_S1,least_busy
3,0,3.235102919112955,11.694609235695065,6.697692937530296,46,141,1.5500000000000036,1.150000000000003,1.0,2023-02-19_S1,least_busy
23,0,3.307593437189676,5.767735167831278,4.548959422061357,46,1016,1.4500000000000268,1.1196850393700768,1.0,2023-02-19_S2,least_busy
12,0,2.96930917165688,5.24796869866618,4.876916871611771,46,547,1.3500000000000134,1.0086837294332704,1.0,2023-02-20_S0,least_busy
6,0,4.088667523611623,11.974592360295889,6.240648783639533,46,282,1.5500000000000074,1.1663120567375933,1.0,2023-02-20_S1,least_busy
3,0,2.5570175882820556,4.068612167616653,3.1337660974902497,46,141,1.4499999999999968,1.0,1.0,2023-02-20_S2,least_busy
15,0,2.9172844371771074,10.009704384215041,4.683902214451306,46,682,1.3500000000000152,1.0169354838709612,1.0,2023-02-21_S0,least_busy
18,0,3.4768198839710855,11.980342579840519,5.331737366711595,46,757,1.549999999999978,1.0741083223249628,1.0,2023-02-21_S1,least_busy
21,0,3.150732050551656,7.4905203740541575,4.152759668685315,46,960,1.4500000000000257,1.1268229166666635,1.0,2023-02-21_S2,least_busy
11,0,3.409151159428239,8.381856077311859,4.276988989780894,46,506,1.3500000000000125,1.0047430830039537,1.0,2023-02-22_S0,least_busy
2,0,8.510892588528712,12.968643020845901,8.510892588528712,46,95,1.5499999999999996,1.200526315789476,1.0,2023-02-22_S1,least_busy
