n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,p50_wait_min,p90_wait_min,avg_onscene_min,avg_transport_min,avg_turnaround_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment
13,0,2.918678429594924,4.085019819271605,2.887259156508328,0.0,0.0,22.812762927492546,3.662700595458269,23.18448100317598,46,594,1.350000000000014,1.00808080808081,1.0,2023-02-03_S0
24,0,3.4816181648071547,13.084972190450454,5.369529809696174,0.0,0.0,20.43808759296362,10.738804231124144,27.60298264353176,46,1077,1.549999999999971,1.0942896935933186,1.0,2023-02-03_S1
13,0,3.049867856216478,8.813260338209151,4.600933083439362,0.0,0.0,21.550066902002072,7.466259575979911,22.790311433763527,46,589,1.4500000000000135,1.0553480475382038,1.0,2023-02-03_S2
7,0,3.0331377589486768,3.2034256240128447,2.619756213824155,0.0,0.0,19.431294001105616,5.885311578391138,27.646335466811877,46,324,1.3500000000000072,1.0728395061728353,1.0,2023-02-04_S0
7,0,4.506581904688872,6.946346900859226,4.8209047451641025,0.0,0.0,19.877956723419807,9.666455561958978,30.069282898345346,46,329,1.5500000000000078,1.100607902735566,1.0,2023-02-04_S1
11,0,3.6659835041531865,5.594443691871863,4.324712456777067,0.0,0.0,18.58309503795923,8.21362301544217,34.68725583422881,46,511,1.4500000000000086,1.1507827788649632,1.0,2023-02-04_S2
4,0,3.478762693848456,4.751071292672767,3.488546877974402,0.0,0.0,17.890192229379068,8.291687206860034,32.61759055735633,46,186,1.349999999999996,1.0,1.0,2023-02-05_S0
7,0,3.6132831679923307,4.1875574804001285,3.4933826475555882,0.0,0.0,24.15949725083607,6.477061589689678,33.428289674745955,46,318,1.5500000000000078,1.0707547169811382,1.0,2023-02-05_S1
5,0,3.281298883202716,9.893323261339946,5.438148676111716,0.0,0.0,19.877334917272645,7.851485051462467,32.07103775336104,46,230,1.4499999999999937,1.2293478260869573,1.0,2023-02-05_S2
24,0,3.2122700087296217,4.460229873339898,3.7296618742939085,0.0,0.0,22.76721992019092,5.735407059727169,27.298699054905068,46,1089,1.3499999999999837,1.0433425160697962,1.0,2023-02-06_S0
14,0,2.8025233783839028,4.802330421643424,4.308504710724655,0.0,0.0,23.54311132884526,8.645663237274423,31.537628044254607,46,636,1.5499999999999823,1.1029088050314555,1.0,2023-02-06_S1
5,0,3.7393080516923893,4.599717660993863,3.953552317627498,0.0,0.0,17.601929540071097,5.616576699917932,26.38036753252718,46,220,1.449999999999994,1.2297727272727281,1.0,2023-02-06_S2
12,0,3.0106196988966025,5.613282859742498,3.7026540455943757,0.0,0.0,19.950232015443436,7.438280640098758,29.774249782765754,46,547,1.3500000000000134,1.066179159049372,1.0,2023-02-07_S0
6,0,3.978847716651269,7.460695814229735,4.567939731634341,0.0,0.0,17.037626662298766,12.806521145985501,30.391476462794206,46,280,1.5500000000000074,1.1335714285714313,1.0,2023-02-07_S1
19,0,4.798553739326403,15.471692868745393,7.564662824910617,0.0,0.0,20.84578422247418,16.761224934618696,29.656570929550526,46,819,1.4500000000000224,1.1109890109890117,1.0,2023-02-07_S2
9,0,3.2646359267200813,10.35860281571595,4.819463214621768,0.0,0.0,21.303498775585055,11.19939959979202,31.0343718882907,46,414,1.3500000000000103,1.0557971014492802,1.0,2023-02-08_S0
3,0,4.85321658916806,5.560216245109242,4.374933912471762,0.0,0.0,16.104803863738955,9.515634298568488,26.944200658677826,46,143,1.5500000000000036,1.0835664335664341,1.0,2023-02-08_S1
20,0,3.271246317846784,6.905385877525371,4.239539713320877,0.0,0.0,20.210091937442293,9.955817141770803,27.262851527572092,46,871,1.4500000000000237,1.0466704936854219,1.0,2023-02-08_S2
6,0,3.0713461307161403,7.612585433874274,4.4626899491972605,0.0,0.0,15.923654479229166,9.436101258685808,20.79013800076748,46,280,1.3500000000000048,1.0,1.0,2023-02-09_S0
6,0,3.3474529515983624,8.889838109357717,4.830904682811483,0.0,0.0,12.65495802238747,11.434876931798362,21.30584124450158,46,280,1.4499999999999929,1.0085714285714285,1.0,2023-02-09_S2
17,0,3.736817798612101,8.18249319015202,4.698225288090445,0.0,0.0,20.370148198541887,10.631834697032915,25.118333165796198,46,780,1.3500000000000132,1.0524358974359058,1.0,2023-02-10_S0
18,0,3.282070175599703,8.66084008680859,5.274281298643924,0.0,0.0,18.597327836427592,9.562990580819042,25.090950477524185,46,830,1.5499999999999758,1.103072289156628,1.0,2023-02-10_S1
12,0,3.6280316199710243,19.011259031109187,6.324843277286337,0.0,0.0,20.90972412315035,18.85126214763829,27.81391528664925,46,543,1.4500000000000106,1.1260589318600356,1.0,2023-02-10_S2
5,0,4.760990134837619,12.329565999704855,6.404013846372675,0.0,0.0,18.603660115103295,12.883203244600276,21.929464464783152,46,217,1.3499999999999994,1.0,1.0,2023-02-11_S0
12,0,3.0174770776610087,4.358508338298089,3.260147524922571,0.0,0.0,18.453917634904816,3.9217144819827037,29.301846696797785,46,543,1.4500000000000106,1.0462246777163942,1.0,2023-02-11_S2
26,0,3.076254310858148,8.670415445614712,4.353275538712777,0.0,0.0,18.477005190034337,6.838570430935523,23.01481451075701,46,1176,1.349999999999978,1.0521683673469397,1.0,2023-02-12_S0
13,0,3.7320426724025526,12.505736934901508,6.320409496156691,0.0,0.0,17.589102060456856,16.34948194933261,28.48919549540189,46,578,1.549999999999985,1.1290657439446363,1.0,2023-02-12_S1
13,0,3.6268289764951547,7.315605981937395,5.437042845468036,0.0,0.0,22.41010763245143,10.246748495399897,36.125051063825445,46,569,1.4500000000000124,1.1140597539543051,1.0,2023-02-12_S2
13,0,3.5120063113459463,5.104139003250984,3.8978292916428705,0.0,0.0,19.28517961998239,6.790717099204361,24.94667794748579,46,598,1.350000000000014,1.0657190635451654,1.0,2023-02-13_S0
9,0,5.093073433383932,18.631858704335567,8.16770471400818,0.0,0.0,22.332638679548136,15.85939492390563,30.37215054010324,46,410,1.5499999999999976,1.1441463414634052,1.0,2023-02-13_S1
11,0,3.2756792106885224,9.399363759349487,4.410350942888922,0.0,0.0,22.26767828872173,10.486136305459176,33.64557669827162,46,467,1.450000000000005,1.2139186295503217,1.0,2023-02-13_S2
22,0,3.540891333096974,10.609852138616887,5.5610258354659985,0.0,0.0,21.66981505819891,11.23108251663013,22.78488398959664,46,984,1.3499999999999917,1.0443597560975684,1.0,2023-02-14_S0
5,0,3.805253297139355,3.9274064053700353,3.4731795257715845,0.0,0.0,20.695991374841093,4.151052780772516,33.24313157038692,46,232,1.5500000000000065,1.1284482758620749,1.0,2023-02-14_S1
5,0,3.19032331030522,12.617847694236078,6.574368138590498,0.0,0.0,20.737369110148737,12.966937701207721,20.489155021301194,46,234,1.3500000000000012,1.0397435897435943,1.0,2023-02-15_S0
12,0,3.7967818381819107,13.055192842777757,6.148740285125096,0.0,0.0,19.03070855073321,12.390036604732279,30.535105344819854,46,553,1.5499999999999865,1.0877034358047026,1.0,2023-02-15_S1
27,0,3.6841882071658234,8.157014463234196,4.940101387398359,0.0,0.0,20.37713415857718,11.479537443028597,29.965713048679792,46,1194,1.4500000000000297,1.1150335008375136,1.0,2023-02-15_S2
15,0,3.6262907422493638,5.285109542111586,4.395822430681139,0.0,0.0,25.396841288899328,9.969580224698953,32.45086586024772,46,644,1.5499999999999818,1.0918478260869633,1.0,2023-02-16_S1
13,0,2.939285652864941,6.757385641912645,4.166217513608779,0.0,0.0,18.886521233014356,7.3135535308594415,23.845330283880227,46,573,1.4500000000000126,1.0276614310645735,1.0,2023-02-16_S2
