n_calls,missed_calls,p50_resp_min,p90_resp_min,avg_resp_min,units,legs,avg_road_factor,avg_hour_mult,avg_zone_mult,segment,policy_id
13,0,3.5391932161795583,5.1152362856668,3.9180472994095186,46,600,1.3500000000000143,1.0653333333333481,1.0,2023-02-13_S0,type_pref_als
9,0,5.1215540296207545,18.250639902336633,7.851718285642911,46,410,1.5499999999999976,1.1441463414634052,1.0,2023-02-13_S1,type_pref_als
11,0,3.218237659015057,9.811344898950834,4.558856886404495,46,475,1.4500000000000057,1.2134736842105274,1.0,2023-02-13_S2,type_pref_als
22,0,3.535767987749993,10.829189899888048,5.559546792721125,46,988,1.3499999999999912,1.0445850202429225,1.0,2023-02-14_S0,type_pref_als
5,0,3.8465538181801375,3.8762280084514398,3.4517577081033535,46,233,1.5500000000000065,1.1281115879828385,1.0,2023-02-14_S1,type_pref_als
5,0,3.3305785696994814,12.533288631278271,6.584617792401096,46,230,1.3500000000000008,1.0395652173913086,1.0,2023-02-15_S0,type_pref_als
12,0,3.748206041698505,13.24643592147249,5.983224382213077,46,549,1.5499999999999867,1.0875227686703106,1.0,2023-02-15_S1,type_pref_als
27,0,3.737756038924583,8.532487556778321,5.0418529867808655,46,1205,1.4500000000000297,1.1144398340248889,1.0,2023-02-15_S2,type_pref_als
15,0,3.5954890093142513,5.366962904033831,4.339801694639908,46,649,1.5499999999999816,1.0921417565485427,1.0,2023-02-16_S1,type_pref_als
13,0,2.9473025046213546,6.923245695109078,4.140934648159421,46,575,1.4500000000000126,1.0275652173913055,1.0,2023-02-16_S2,type_pref_als
17,0,2.9470592761405783,4.448650960936873,3.6130502387561165,46,785,1.3500000000000125,1.0180891719745264,1.0,2023-02-17_S0,type_pref_als
16,0,3.3672310553002633,7.1240238821838915,4.464291011599274,46,713,1.5499999999999794,1.100070126227212,1.0,2023-02-17_S1,type_pref_als
18,0,3.3484237004642843,10.384903520552413,5.392544717073954,46,796,1.4500000000000217,1.113253768844219,1.0,2023-02-17_S2,type_pref_als
7,0,4.604247909723416,8.870295873676032,5.5418391395009365,46,325,1.5500000000000078,1.0935384615384716,1.0,2023-02-18_S1,type_pref_als
3,0,3.311499286950286,11.5478247854265,6.656344479312632,46,141,1.5500000000000036,1.150000000000003,1.0,2023-02-19_S1,type_pref_als
23,0,3.173438562330026,5.778321362329258,4.488662800715322,46,1023,1.450000000000027,1.1198924731182776,1.0,2023-02-19_S2,type_pref_als
12,0,3.0459010962518818,5.248400539594148,4.869824376472828,46,545,1.3500000000000134,1.0087155963302736,1.0,2023-02-20_S0,type_pref_als
6,0,4.0890976012951095,11.608498529938466,6.113413259894368,46,281,1.5500000000000074,1.1660142348754496,1.0,2023-02-20_S1,type_pref_als
3,0,2.495629147378579,4.2011805518440415,3.18370488905788,46,141,1.4499999999999968,1.0,1.0,2023-02-20_S2,type_pref_als
15,0,2.921185059368117,9.42685911138349,4.644480010936177,46,681,1.3500000000000152,1.0165932452275996,1.0,2023-02-21_S0,type_pref_als
18,0,3.498394520667259,12.497985207810569,5.400975729264911,46,761,1.5499999999999778,1.074178712220758,1.0,2023-02-21_S1,type_pref_als
21,0,3.1277877217003214,7.6815695789073075,4.213556607932057,46,962,1.450000000000026,1.1266632016631983,1.0,2023-02-21_S2,type_pref_als
11,0,3.4574049872340016,8.509112329687838,4.314484114872605,46,507,1.3500000000000127,1.004733727810652,1.0,2023-02-22_S0,type_pref_als
2,0,8.53645906222244,12.99793491131223,8.53645906222244,46,95,1.5499999999999996,1.200526315789476,1.0,2023-02-22_S1,type_pref_als
3,0,3.7377247850542177,4.5217013081825055,3.3528607977272618,46,143,1.3499999999999965,1.0993006993006966,1.0,2023-02-23_S0,type_pref_als
1,0,6.349234592661903,6.349234592661903,6.349234592661903,46,48,1.5499999999999987,1.0499999999999992,1.0,2023-02-23_S1,type_pref_als
23,0,3.019415027671383,5.643116384108891,3.7348588019428233,46,996,1.4500000000000266,1.0550702811244934,1.0,2023-02-23_S2,type_pref_als
27,0,3.3991299405677395,8.865939721941968,4.894328990587179,46,1175,1.349999999999978,1.0401702127659642,1.0,2023-02-24_S0,type_pref_als
17,0,3.07476244446444,4.468251077637242,3.3010484642686886,46,772,1.5499999999999774,1.0971502590673574,1.0,2023-02-24_S1,type_pref_als
1,0,14.476079024762933,14.476079024762933,14.476079024762933,46,48,1.3500000000000008,1.0,1.0,2023-02-25_S0,type_pref_als
31,0,3.27630893872006,12.466778902723261,6.201567309414794,46,1346,1.4500000000000315,1.1208395245170868,1.0,2023-02-25_S2,type_pref_als
26,0,3.484878877978809,10.221689284710674,4.804789531271094,46,1141,1.34999999999998,1.0449605609114743,1.0,2023-02-26_S0,type_pref_als
4,0,4.658185760206647,9.576442446337735,5.576276611786842,46,182,1.5500000000000052,1.1868131868131868,1.0,2023-02-26_S1,type_pref_als
6,0,3.8532618928722697,6.442111156720355,4.405007201204895,46,275,1.3500000000000043,1.0,1.0,2023-02-27_S0,type_pref_als
1,0,2.1880339509752167,2.1880339509752167,2.1880339509752167,46,48,1.5499999999999987,1.0499999999999992,1.0,2023-02-27_S1,type_pref_als
1,0,1.9950773573397709,1.9950773573397709,1.9950773573397709,46,48,1.450000000000001,1.0,1.0,2023-02-27_S2,type_pref_als
9,0,2.7787568829481577,3.8247008389005166,2.939852334114827,46,416,1.3500000000000105,1.0,1.0,2023-02-28_S0,type_pref_als
13,0,3.280560940215751,7.260197044682492,4.7665868927584745,46,599,1.5499999999999838,1.1001669449081786,1.0,2023-02-28_S1,type_pref_als
16,0,3.4018035804500486,7.113065108431324,3.9710384697671506,46,717,1.450000000000019,1.1785913528591283,1.0,2023-02-28_S2,type_pref_als
3,0,4.0310493011434385,4.743141669178154,3.902679073710765,46,141,1.5500000000000036,1.2173758865248245,1.0,2023-03-01_S1,type_pref_als
17,0,3.5177244312415454,11.824471451358992,5.476725021371687,46,779,1.4500000000000213,1.095442875481378,1.0,2023-03-01_S2,type_pref_als
6,0,3.6388124577400784,13.60290325441662,6.5934913255673235,46,266,1.3500000000000036,1.0,1.0,2023-03-02_S0,type_pref_als
10,0,3.3134004342252954,12.215078162596042,5.231825385436094,46,458,1.549999999999993,1.0647379912663866,1.0,2023-03-02_S1,type_pref_als
16,0,4.165554527682271,10.123231700362652,5.539902441631149,46,719,1.4500000000000193,1.101251738525731,1.0,2023-03-02_S2,type_pref_als
1,0,3.130601770677834,3.130601770677834,3.130601770677834,46,46,1.350000000000001,1.0,1.0,2023-03-03_S0,type_pref_als
10,0,3.9634262868916332,6.870861147919521,5.123778233716128,46,452,1.5499999999999936,1.1192477876106064,1.0,2023-03-03_S1,type_pref_als
7,0,3.907308456868514,11.985908395246524,6.510601902908927,46,316,1.5500000000000078,1.092405063291142,1.0,2023-03-04_S1,type_pref_als
6,0,5.201755390971504,15.225011185992123,7.629603984226345,46,274,1.449999999999993,1.1593065693430715,1.0,2023-03-04_S2,type_pref_als
8,0,3.9304211722044053,14.783655324596456,7.01350171545951,46,373,1.5500000000000018,1.0628686327077774,1.0,2023-03-05_S1,type_pref_als
5,0,3.567865324438366,3.977291231945238,3.4860179728805405,46,227,1.449999999999994,1.2096916299559441,1.0,2023-03-05_S2,type_pref_als
3,0,3.0728638506218378,3.10399825357979,3.0580004468431787,46,142,1.3499999999999965,1.1661971830985904,1.0,2023-03-06_S0,type_pref_als
5,0,3.196902248552949,4.859885108986975,3.4796868487293118,46,237,1.5500000000000065,1.1795358649789016,1.0,2023-03-06_S1,type_pref_als
12,0,3.3261610393481424,5.495435169359668,4.275763397060293,46,547,1.450000000000011,1.0743144424131634,1.0,2023-03-06_S2,type_pref_als
5,0,3.0914523590904137,6.434452064513678,3.8152365284451606,46,224,1.35,1.0,1.0,2023-03-07_S0,type_pref_als
4,0,6.580620577803595,14.681222187792804,8.104886070566264,46,188,1.5500000000000054,1.0997340425531905,1.0,2023-03-07_S1,type_pref_als
14,0,3.3070102182769867,7.522714780379082,4.249508460795753,46,641,1.450000000000016,1.1035881435257429,1.0,2023-03-07_S2,type_pref_als
11,0,2.951441192513712,4.628387979934648,3.3470596231337,46,514,1.3500000000000127,1.0,1.0,2023-03-08_S0,type_pref_als
15,0,2.674683438544581,10.103443928863422,4.597770937368444,46,684,1.5499999999999805,1.106505847953221,1.0,2023-03-08_S1,type_pref_als
33,0,3.8071575396508326,7.146343312669168,4.610924283459171,46,1429,1.4500000000000297,1.127081875437357,1.0,2023-03-08_S2,type_pref_als
13,0,3.9653539869725605,5.879103251317964,3.8632920106000954,46,601,1.3500000000000143,1.0391014975041686,1.0,2023-03-09_S0,type_pref_als
11,0,3.8302668776585804,5.476323976777008,4.833151183575226,46,509,1.5499999999999892,1.1497053045186605,1.0,2023-03-09_S1,type_pref_als
15,0,4.288532047453177,5.825021595325764,4.193203707144461,46,677,1.4500000000000175,1.1644756277695623,1.0,2023-03-09_S2,type_pref_als
6,0,4.131716382469811,5.855485001134406,4.340681620457137,46,278,1.3500000000000045,1.0165467625899318,1.0,2023-03-10_S0,type_pref_als
5,0,3.6415988073906362,12.81986317151624,6.649208816261288,46,230,1.5500000000000065,1.1293478260869587,1.0,2023-03-10_S1,type_pref_als
8,0,3.207251709722623,8.860682382671046,4.595929348529108,46,366,1.449999999999994,1.1446721311475505,1.0,2023-03-10_S2,type_pref_als
10,0,4.130778617995821,9.434515137674403,5.2065231211334035,46,471,1.3500000000000119,1.0451167728237836,1.0,2023-03-11_S0,type_pref_als
15,0,3.698518141487753,4.703398083230484,3.6909800510141073,46,699,1.5499999999999798,1.1069384835479292,1.0,2023-03-11_S1,type_pref_als
18,0,3.180101317977371,12.144939056347058,5.3354851800725775,46,782,1.4500000000000213,1.1920716112531995,1.0,2023-03-11_S2,type_pref_als
16,0,4.627778999911179,16.44727178681402,6.713808016501993,46,708,1.5499999999999796,1.0775423728813607,1.0,2023-03-12_S1,type_pref_als
22,0,3.3781646313304625,6.8343987387003935,4.286857796880157,46,986,1.4500000000000264,1.1313387423935004,1.0,2023-03-12_S2,type_pref_als
8,0,3.025928252148839,4.672906452376952,3.3088798415699916,46,372,1.3500000000000092,1.0,1.0,2023-03-13_S0,type_pref_als
15,0,3.7655008087656836,11.4191089771934,5.2563246593669195,46,649,1.4500000000000164,1.0567796610169509,1.0,2023-03-13_S2,type_pref_als
9,0,6.153733298287406,6.720945693654323,4.841747213018007,46,395,1.3500000000000099,1.0,1.0,2023-03-14_S0,type_pref_als
6,0,3.966380137017964,10.740153573915826,5.754331268065762,46,273,1.5500000000000071,1.0500000000000054,1.0,2023-03-14_S1,type_pref_als
20,0,3.2704184666723464,5.779019012305357,4.023643859490604,46,853,1.4500000000000233,1.0701641266119553,1.0,2023-03-14_S2,type_pref_als
