policy,scenario,n_rows,n_failures,high_threshold_min,high_n,high_mean,high_p50,high_p90,high_p99,high_pct_over_threshold,pct_no_als_global,pct_no_bls_global,pct_no_als_in_als_zone,pct_no_bls_in_bls_zone,pct_no_idle_units_in_critical_muni_overall,pct_no_idle_units_in_critical_muni_EAST LAMPETER TOWNSHIP,pct_no_idle_units_in_critical_muni_LANCASTER,pct_no_idle_units_in_critical_muni_LANCASTER TOWNSHIP,pct_no_idle_units_in_critical_muni_MANHEIM TOWNSHIP,pct_no_idle_units_in_critical_muni_WEST LAMPETER TOWNSHIP,low_n,danger_last_als_low_n,danger_last_als_low_rate,als_share_on_low_calls,pct_low_calls_stripping_muni,low_calls_stripping_muni_n,low_calls_stripping_muni_base_n
nearest_eta_r1,S1_demand_1.5x,184774.0,72094.0,20.0,57548.0,6.253314376167579,4.503565448704727,12.156469502428289,31.390341519420588,0.03652603044415097,0.41260134001537013,0.45437128600344207,0.21156558533145275,0.2193215268059644,1.0,1.0,1.0,1.0,1.0,1.0,99197.0,3145.0,0.031704587840358074,0.2605564826235217,0.07092069941231953,3910.0,55132.0
nearest_eta_r1,S2_demand_2x,276868.0,127753.0,20.0,75953.0,6.945457002012342,5.373406756428884,13.631529245850032,33.26275764187014,0.046726264926994325,0.488749151220076,0.5358401837698831,0.36633878200491826,0.39469066032123734,1.0,1.0,1.0,1.0,1.0,1.0,147382.0,5453.0,0.03699909079806218,0.2898225854952024,0.08164074246193379,5973.0,73162.0
nearest_eta_r1,S3_supply_0.7x,215914.0,146351.0,20.0,35665.0,9.220894036385628,7.5148016160574125,19.611144656077467,37.254113342257156,0.09552782840319642,0.7054892225608345,0.7468343877654993,0.5313034553540883,0.5440096910963053,1.0,1.0,1.0,1.0,1.0,1.0,122823.0,4727.0,0.03848627700023611,0.37279485515369637,0.11133400200601805,3774.0,33898.0
nearest_eta_r1,S4_supply_0.5x,332422.0,270806.0,20.0,31412.0,10.247164053341915,9.309141833264473,19.645591611122402,30.26018284852999,0.09394498917611104,0.8428473446402465,0.8676712130966061,0.7716297786720322,0.7866540580544363,1.0,1.0,1.0,1.0,1.0,1.0,185135.0,7050.0,0.03808031976665677,0.4496755396636207,0.14342471195868098,4332.0,30204.0
nearest_eta_r1_r2,S0_baseline,116447.0,40915.0,20.0,38549.0,5.961685953102914,4.168099475960581,11.687698847673186,30.988812777729628,0.032685672780098055,0.3725042293919122,0.4099890937508051,0.09591474245115453,0.10640173063055845,1.0,1.0,1.0,1.0,1.0,1.0,63198.0,1961.0,0.031029462957688533,0.2583349106346159,0.07097855771570721,2625.0,36983.0
nearest_eta_r1_r2,S1_demand_1.5x,185025.0,72346.0,20.0,57544.0,6.270001930562694,4.524681692260714,12.193154004150884,31.473614847632398,0.037084665647156956,0.41363059046074857,0.4538035400621538,0.22473342605470562,0.22269894534995205,1.0,1.0,1.0,1.0,1.0,1.0,99345.0,3219.0,0.03240223463687151,0.2646413349052326,0.07401831867234969,4081.0,55135.0
nearest_eta_r1_r2,S2_demand_2x,278508.0,129446.0,20.0,75953.0,6.9539665197224725,5.3604931905109305,13.672885666379182,33.06209148834206,0.04684475925901544,0.49214385224122825,0.5382322949430537,0.37452621039834083,0.39287892990522105,1.0,1.0,1.0,1.0,1.0,1.0,148636.0,5557.0,0.037386635808283324,0.2950662709105582,0.08354648538483635,6108.0,73109.0
nearest_eta_r1_r2,S3_supply_0.7x,215388.0,145817.0,20.0,35679.0,9.251210012388373,7.541600244771053,19.709948530682556,37.226283012845606,0.0962470921270215,0.7045564283989822,0.7459839916801307,0.5331823329558324,0.5468395383649621,1.0,1.0,1.0,1.0,1.0,1.0,122020.0,4566.0,0.03742009506638256,0.3720642039419332,0.11226838191903694,3805.0,33892.0
nearest_eta_r1_r2,S4_supply_0.5x,333883.0,272253.0,20.0,31458.0,10.257569275600888,9.28094079456747,19.61768197990701,30.239923693436616,0.09294932926441604,0.8435979070512725,0.8678129764019132,0.77242167540675,0.7881715170783402,1.0,1.0,1.0,1.0,1.0,1.0,185740.0,6854.0,0.03690104447076559,0.45177648150603206,0.1506032082725706,4544.0,30172.0
nearest_eta_r2,S0_baseline,115827.0,40234.0,20.0,38619.0,6.019692816485645,4.235599600730734,11.750220942916695,30.604026115317605,0.033066625236282655,0.36928350039282726,0.391894808637019,0.09795033504138746,0.0822672064777328,1.0,1.0,1.0,1.0,1.0,1.0,63049.0,1907.0,0.030246316357119066,0.49586195705090064,0.06856169199978362,2535.0,36974.0
nearest_eta_r2,S1_demand_1.5x,185257.0,72532.0,20.0,57616.0,6.322774896918755,4.601031686870961,12.252301556683587,31.462929358354547,0.036864759788947515,0.41455383602239054,0.4395623377254301,0.2189798062332205,0.20651211751477308,1.0,1.0,1.0,1.0,1.0,1.0,99829.0,3085.0,0.03090284386300574,0.48859532925656424,0.07156725761672322,3944.0,55109.0
nearest_eta_r2,S2_demand_2x,277575.0,128518.0,20.0,75938.0,7.002902917243696,5.502554722624156,13.711853960413382,33.00945015859247,0.047025204772314255,0.49076105557056654,0.5187931189768531,0.36884712685218646,0.3678810030258546,1.0,1.0,1.0,1.0,1.0,1.0,148002.0,5343.0,0.03610086350184457,0.5007180076313954,0.08048523639546493,5885.0,73119.0
nearest_eta_r2,S3_supply_0.7x,214955.0,145344.0,20.0,35675.0,9.240538771076354,7.66225051530827,19.540810013100632,36.965915411654684,0.09443587946741415,0.7046823753808936,0.7356097787909097,0.5339816804251951,0.5202290826860683,1.0,1.0,1.0,1.0,1.0,1.0,121988.0,4625.0,0.037913565268714956,0.5368929750117869,0.11937175860443187,4051.0,33936.0
nearest_eta_r2,S4_supply_0.5x,333311.0,271555.0,20.0,31454.0,10.378445622010114,9.43401494878296,19.603960487333847,30.37937501891609,0.09251605519170852,0.8464887147438879,0.8602656377977325,0.7833355185525108,0.7760203592978231,1.0,1.0,1.0,1.0,1.0,1.0,185303.0,6686.0,0.036081444984700735,0.6363276351395948,0.14916507161243484,4520.0,30302.0
